7:302,76,58,616,866,650,8,65,29,518
18:17,302,654,76,58,616,866,650,8,65
19:19480,5145,2048,4600,13894,26191,1477,13192,14010,9497
36:17,654,76,58,616,866,650,8,65,84
37:65,57491,296,10520,9617,16288,73168,1239,17,6009
41:14202,18867,356,3890,4499,17,302,654,76,58
42:14202,2008,10015,2193,1009,35036,3824,84,62137,1102
43:17,302,654,76,58,616,866,650,8,65
44:1217,15,97,2316,26042,2338,5710,5413,302,76
45:866,361,238,709,262,698,500,901,2139,409
46:46215,38663,19431,109,7506,45422,18256,302,76,58
59:1039,119,16134,37900,29709,654,76,58,616,650
60:302,6011,6848,302,76,58,616,650,8,65
69:813,5465,16319,1217,8276,559,31063,14551,9931,1217
70:302,654,76,58,616,650,8,65,84,29
94:8276,559,11626,9617,322,85755,6270,20553,95138,1152
106:14202,67595,866,8,65,84,29,518,224,81
115:709,2982,2816,966,1360,58,866,8,65,29
116:834,29001,17,302,654,76,58,616,866,650
142:709,18867,454,296,19984,8487,1965,5176,58,866
143:49245,86747,17,302,654,76,58,616,650,8
148:1405,46215,18867,5103,6024,378,5545,17,302,654
150:17,302,654,650,8,65,84,29,518,285
156:568,7029,302,76,58,616,866,650,8,65
161:1039,12259,1926,179,1403,13062,9581,76,616,866
171:28641,302,76,866,650,8,65,84,518,224
172:1217,1937,654,76,58,866,8,65,84,518
174:873,931,1276,431,3476,1539,219,718,4697,8066
177:17,654,76,58,616,866,650,8,65,84
196:650,3476,17164,427,650,4578,76,616,866,650
202:220,302,58,866,8,518,224,285,354,15
211:17,302,654,76,58,616,650,8,65,84
217:17,55991,17,302,654,76,58,616,866,650
220:17,302,654,76,58,616,866,650,8,65
223:119,559,167,302,654,76,58,616,866,650
224:17,302,654,76,58,616,650,8,65,84
225:3476,32619,353,302,654,76,58,616,866,8
228:650,17,302,654,76,58,616,650,8,65
229:1410,2068,58,866,84,518,669,81,285,508
231:2904,302,654,76,58,616,8,65,84,29
232:347,6901,6545,3176,2092,2312,18287,3148,1787,3847
238:42397,26712,17,302,654,76,58,616,866,650
241:7973,76,58,616,866,650,65,84,29,518
245:81,226,986,780,3137,5767,731,18867,1884,754
